crop,temperature,humidity,rainfall,soil_ph,nitrogen,phosphorus,potassium,wind_speed,soil_moisture,month,season,water_stress,nutrient_stress,temperature_stress,disease
tomato,16.1,76.38,16.96,8.87,103.02,30.61,73.56,1.0,24.29,6,monsoon,0,0,0,healthy
maize,17.61,35.5,94.64,5.66,67.16,25.15,42.42,7.69,8.6,3,summer,1,0,0,healthy
tomato,20.64,72.22,93.53,5.6,108.42,45.82,44.11,2.9,29.87,3,summer,0,0,0,late_blight
tomato,16.54,81.32,55.37,5.44,89.69,12.13,5.54,13.06,19.56,8,monsoon,1,1,0,healthy
tomato,24.07,63.98,49.21,7.66,63.86,13.07,37.99,3.91,33.24,1,winter,0,1,0,healthy
rice,21.92,81.64,130.57,7.83,54.82,33.82,68.28,2.01,39.76,7,monsoon,0,0,0,blast
maize,31.5,97.12,218.23,4.94,77.73,59.46,79.89,4.12,29.64,9,monsoon,0,0,0,healthy
wheat,37.52,71.74,37.74,6.05,107.11,40.38,46.64,7.04,15.05,4,summer,1,0,1,healthy
maize,23.3,61.46,17.58,7.87,89.86,29.4,72.83,11.15,43.72,12,winter,0,0,0,healthy
rice,26.4,87.0,0.05,4.53,39.52,19.62,63.18,3.32,17.51,1,winter,1,1,0,healthy
tomato,19.67,59.72,24.69,3.36,117.91,39.69,59.32,1.42,40.87,5,summer,0,0,0,healthy
rice,33.04,61.16,42.32,6.37,123.01,61.32,0.0,4.02,44.8,7,monsoon,0,1,0,blast
cotton,14.42,56.64,162.53,7.03,79.34,64.36,50.26,8.01,30.28,3,summer,0,0,0,healthy
tomato,15.42,48.06,124.18,5.48,63.92,61.93,70.7,9.09,5.3,11,winter,1,0,0,healthy
tomato,18.3,83.54,77.97,4.96,102.24,5.79,62.97,27.93,30.63,11,winter,0,1,0,late_blight
rice,29.01,89.3,187.51,4.9,71.44,61.31,81.35,2.33,47.89,9,monsoon,0,0,0,bacterial_blight
cotton,23.86,31.31,59.5,6.49,68.5,30.75,32.19,6.82,20.4,12,winter,0,0,0,healthy
cotton,33.84,42.6,27.97,5.34,77.69,46.82,66.92,7.92,38.27,1,winter,0,0,0,healthy
tomato,31.8,77.89,26.16,9.0,79.06,39.77,64.76,1.64,33.27,5,summer,0,0,0,healthy
maize,29.05,79.46,331.37,6.39,66.43,55.54,86.14,1.91,26.58,2,winter,0,0,0,healthy
rice,33.77,63.29,265.95,4.78,121.69,22.9,34.32,1.95,34.5,10,winter,0,0,0,healthy
wheat,39.23,76.09,244.46,6.89,95.45,117.05,74.27,6.05,41.36,12,winter,0,0,1,healthy
cotton,15.78,39.98,9.87,5.77,82.46,86.29,13.32,1.69,25.85,4,summer,0,1,0,healthy
wheat,25.64,60.56,13.59,8.13,126.81,42.57,73.74,0.45,17.29,4,summer,1,0,0,healthy
cotton,35.91,86.58,372.36,3.46,85.59,26.76,81.31,2.89,22.28,10,winter,0,0,1,healthy
wheat,38.29,60.5,79.68,5.52,108.36,65.33,69.43,4.73,46.51,7,monsoon,0,0,1,healthy
cotton,19.15,44.4,141.82,7.17,103.24,21.46,58.51,3.38,17.05,5,summer,1,0,0,healthy
wheat,24.16,100.0,4.64,8.48,123.24,11.28,89.08,5.37,30.1,4,summer,0,1,0,rust
wheat,25.56,62.29,281.73,3.65,118.42,27.7,112.78,3.94,28.48,1,winter,0,0,0,healthy
wheat,29.71,56.62,24.15,5.2,67.44,37.77,21.41,5.33,41.17,10,winter,0,1,0,healthy
wheat,20.02,62.89,119.32,7.85,89.22,56.26,75.74,1.66,35.52,3,summer,0,0,0,rust
tomato,19.32,95.55,41.67,5.61,126.59,31.21,49.8,11.64,32.62,4,summer,0,0,0,late_blight
rice,30.46,63.79,49.3,6.09,61.61,78.25,86.63,2.98,19.94,11,winter,1,0,0,healthy
maize,15.29,85.41,155.88,7.5,79.63,22.05,61.9,2.91,23.23,7,monsoon,0,0,0,healthy
cotton,29.91,97.16,10.66,6.87,64.79,30.58,65.8,0.44,41.54,7,monsoon,0,0,0,healthy
rice,21.18,35.13,123.16,8.1,9.81,32.97,34.52,2.0,38.32,3,summer,0,1,0,healthy
wheat,19.54,69.04,12.65,6.98,55.18,50.39,98.32,16.37,15.54,8,monsoon,1,0,0,healthy
maize,18.25,71.39,495.68,7.98,82.93,24.54,60.61,4.96,34.98,1,winter,0,0,0,rust
cotton,24.11,89.53,96.79,5.24,62.02,0.0,46.86,4.38,10.87,4,summer,1,1,0,healthy
maize,27.9,52.03,241.83,7.24,102.26,69.53,77.51,10.05,28.68,5,summer,0,0,0,healthy
rice,24.14,100.0,421.9,8.56,59.67,63.07,50.62,4.21,32.19,5,summer,0,0,0,blast
cotton,21.12,100.0,289.62,6.97,66.5,52.46,33.31,15.4,28.58,4,summer,0,0,0,healthy
rice,33.48,100.0,44.34,7.0,57.55,71.02,62.89,3.67,31.7,5,summer,0,0,0,healthy
cotton,34.23,49.59,2.92,6.1,99.36,67.37,35.88,0.73,36.86,12,winter,0,0,0,healthy
wheat,33.47,34.83,49.8,7.83,75.89,44.0,5.73,7.65,46.29,3,summer,0,1,0,healthy
rice,13.96,69.71,29.87,7.69,91.52,39.35,8.31,5.02,29.11,11,winter,0,1,0,healthy
cotton,7.6,100.0,87.89,8.92,55.61,51.2,37.2,2.65,30.44,2,winter,0,0,1,healthy
maize,33.59,59.39,19.48,5.31,36.98,36.17,61.44,5.86,7.17,9,monsoon,1,1,0,healthy
wheat,29.12,94.09,8.53,6.33,73.37,52.28,78.94,1.02,24.53,6,monsoon,0,0,0,healthy
wheat,15.18,73.84,127.48,8.9,92.01,24.31,71.8,0.15,36.51,2,winter,0,0,0,rust
cotton,18.03,65.47,133.71,6.89,41.27,8.79,65.17,2.1,8.23,9,monsoon,1,1,0,healthy
maize,21.87,100.0,133.49,5.56,142.53,67.82,9.81,2.06,40.67,4,summer,0,1,0,rust
wheat,24.91,37.24,40.1,5.57,42.23,63.78,58.97,0.46,37.97,6,monsoon,0,0,0,rust
cotton,26.16,81.33,76.58,7.75,117.26,38.28,37.26,6.66,36.39,12,winter,0,0,0,healthy
rice,12.81,85.95,87.05,6.4,43.67,26.96,61.18,2.05,23.98,5,summer,0,0,0,healthy
rice,31.08,80.6,63.79,8.66,26.89,19.35,64.24,1.0,30.89,3,summer,0,1,0,healthy
rice,28.9,100.0,184.41,7.01,67.64,30.25,49.19,0.9,35.43,10,winter,0,0,0,bacterial_blight
tomato,33.28,86.4,114.88,3.94,133.17,32.03,66.25,3.88,38.06,1,winter,0,0,0,healthy
rice,15.32,37.73,75.9,3.07,122.97,64.29,37.98,5.92,47.06,11,winter,0,0,0,healthy
tomato,24.74,89.4,15.45,7.58,99.76,21.82,101.05,0.54,29.61,4,summer,0,0,0,healthy
maize,22.84,50.42,159.6,5.86,63.42,59.28,84.34,5.12,34.13,11,winter,0,0,0,healthy
tomato,40.01,34.43,61.99,8.74,85.42,92.87,54.93,10.28,30.47,12,winter,0,0,1,healthy
tomato,39.26,81.81,255.75,5.31,94.14,77.64,93.64,2.76,31.84,6,monsoon,0,0,1,late_blight
rice,25.8,100.0,50.92,7.29,75.26,31.46,34.7,3.85,13.45,11,winter,1,0,0,bacterial_blight
wheat,31.72,69.23,88.45,7.21,34.11,60.78,42.54,1.63,23.28,1,winter,0,1,0,healthy
rice,19.76,54.02,576.81,6.25,157.2,41.18,60.35,1.18,29.76,3,summer,0,0,0,healthy
maize,13.53,99.31,181.13,4.02,101.03,44.7,105.45,3.82,24.36,3,summer,0,0,0,healthy
tomato,-3.55,75.8,292.09,6.12,37.77,24.44,32.24,0.13,47.52,12,winter,0,1,1,healthy
wheat,22.95,90.49,80.23,5.34,61.28,91.43,63.73,2.07,39.63,12,winter,0,0,0,healthy
wheat,26.38,95.0,328.74,7.13,29.2,21.99,65.77,6.66,22.84,5,summer,0,1,0,healthy
cotton,35.94,89.17,241.49,4.25,114.17,30.83,87.21,0.17,25.24,9,monsoon,0,0,1,healthy
wheat,33.13,62.66,367.09,7.21,69.35,45.15,67.11,3.18,30.39,1,winter,0,0,0,healthy
wheat,42.24,83.45,29.83,6.76,74.48,40.37,68.69,0.94,13.7,1,winter,1,0,1,healthy
maize,29.41,90.58,23.12,7.21,128.62,71.41,34.91,12.29,35.1,10,winter,0,0,0,healthy
maize,28.07,22.61,4.81,7.28,58.23,43.74,41.12,1.41,14.76,4,summer,1,0,0,healthy
rice,18.61,84.96,298.2,8.75,95.6,37.63,58.75,1.57,18.81,4,summer,1,0,0,healthy
tomato,24.96,56.82,90.84,8.22,58.9,39.3,104.27,5.83,14.42,3,summer,1,0,0,healthy
wheat,21.8,82.65,31.77,7.96,27.11,62.88,27.02,3.9,27.74,8,monsoon,0,1,0,rust
maize,31.44,88.61,101.4,8.53,110.86,42.9,50.44,0.23,17.49,7,monsoon,1,0,0,healthy
maize,45.85,53.61,12.25,7.42,120.71,32.81,93.92,5.17,2.88,8,monsoon,1,0,1,healthy
cotton,18.15,100.0,216.28,3.0,118.95,68.88,12.39,8.15,50.42,2,winter,0,1,0,healthy
rice,28.88,75.34,26.52,7.83,101.4,40.94,90.58,2.57,23.17,5,summer,0,0,0,healthy
tomato,32.36,76.28,414.04,5.83,123.6,71.59,46.93,1.36,27.0,2,winter,0,0,0,healthy
tomato,18.56,83.34,32.47,8.92,72.65,22.34,43.79,4.44,38.02,7,monsoon,0,0,0,late_blight
cotton,24.22,71.09,51.35,5.79,97.92,37.44,47.47,0.19,35.15,7,monsoon,0,0,0,healthy
rice,34.55,100.0,74.45,7.2,83.26,5.82,64.24,11.39,29.97,3,summer,0,1,0,healthy
maize,26.62,39.69,89.88,5.24,84.94,32.75,74.6,0.69,32.86,8,monsoon,0,0,0,healthy
rice,27.68,52.99,52.5,6.66,38.62,25.38,59.17,0.42,47.95,12,winter,0,1,0,healthy
maize,32.26,70.72,84.7,7.32,140.51,48.19,75.95,3.68,26.22,11,winter,0,0,0,healthy
cotton,29.37,60.71,27.27,5.07,52.15,51.89,86.01,0.03,29.05,11,winter,0,0,0,healthy
maize,19.48,79.9,170.36,6.54,118.35,43.82,61.16,5.0,37.53,8,monsoon,0,0,0,rust
cotton,14.2,74.99,329.66,8.87,116.27,11.17,64.39,0.35,34.09,11,winter,0,1,0,healthy
rice,31.02,89.54,64.16,5.62,137.32,62.07,103.14,2.42,41.37,11,winter,0,0,0,blast
wheat,21.34,67.74,288.78,4.66,118.96,42.15,80.85,7.41,25.05,4,summer,0,0,0,rust
cotton,10.23,58.67,38.68,7.91,105.8,47.08,52.8,6.27,18.37,11,winter,1,0,0,healthy
tomato,45.51,75.39,149.88,6.15,97.09,48.95,76.07,0.7,43.29,5,summer,0,0,1,healthy
tomato,38.1,100.0,28.44,4.27,89.49,48.89,35.12,1.97,15.47,1,winter,1,0,1,healthy
maize,40.72,66.54,65.38,5.47,32.48,55.21,79.65,7.57,34.25,8,monsoon,0,1,1,healthy
cotton,17.26,69.05,27.71,9.0,79.32,50.5,104.54,0.05,32.08,1,winter,0,0,0,healthy
rice,8.67,64.62,8.18,6.37,49.95,34.38,104.94,8.06,36.41,2,winter,0,0,1,healthy
wheat,36.19,88.49,3.21,9.0,90.74,47.87,77.04,8.09,40.5,7,monsoon,0,0,1,healthy
cotton,20.72,72.29,169.99,7.93,142.26,26.22,103.4,0.43,31.98,6,monsoon,0,0,0,healthy
tomato,19.79,60.32,205.4,4.95,64.12,52.37,88.23,3.45,47.28,6,monsoon,0,0,0,late_blight
maize,28.49,47.44,114.01,7.35,72.28,6.63,69.98,6.79,36.47,4,summer,0,1,0,healthy
maize,15.19,40.71,439.41,4.16,140.05,37.89,104.52,10.33,28.27,10,winter,0,0,0,rust
wheat,32.07,99.53,132.09,8.57,92.05,26.29,68.1,3.39,27.09,6,monsoon,0,0,0,healthy
tomato,37.88,37.08,86.61,5.47,88.27,13.5,86.83,2.55,47.17,4,summer,0,1,1,healthy
maize,37.3,54.66,215.17,5.36,22.44,26.84,108.78,0.79,24.1,5,summer,0,1,1,healthy
tomato,29.7,72.3,29.11,4.56,34.62,7.27,90.14,3.81,37.07,8,monsoon,0,1,0,healthy
tomato,32.76,73.48,77.63,8.13,70.35,30.98,63.73,1.27,25.22,5,summer,0,0,0,healthy
