crop_type,disease_type,disease_stage,crop_stage,region,is_organic_farming,temperature,humidity,rainfall,soil_ph,nitrogen,organic_pesticide,organic_application_method,organic_dosage,organic_frequency,non_organic_pesticide,non_organic_application_method,non_organic_dosage,non_organic_frequency
maize,powdery mildew,mid,flowering,Tamil Nadu,1,26.8,66.5,3,7.15,49.8,Garlic-chilli extract,Soil drench,2.9 ml/L water,Every 6 days,Tilt (propiconazole),Broadcast spraying,1.4 g/L water,Once every 12 days
barley,root rot,mid,flowering,Maharashtra,1,31.8,83.1,1,6.18,50.2,Garlic-chilli extract,Drip irrigation,3.4 ml/L water,Every 10 days,Thiamethoxam,Broadcast spraying,2.8 g/L water,Once every 12 days
tomato,downy mildew,advanced,vegetative,Bihar,1,35.9,74.1,2,6.82,40.5,Beauveria bassiana,Foliar spray,3.5 ml/L water,Every 5 days,Thiamethoxam,Foliar spray,2.8 g/L water,Once every 12 days
mothbeans,downy mildew,mid,flowering,Karnataka,0,30.0,62.8,1,6.52,34.0,Neem oil spray,Drip irrigation,4.4 ml/L water,Every 8 days,Confidor,Foliar spray,2.1 g/L water,Once every 17 days
apple,downy mildew,advanced,seedling,Tamil Nadu,1,24.1,70.5,3,6.49,38.3,Cow dung decoction,Soil drench,3.0 ml/L water,Every 9 days,Carbendazim,Soil application,2.4 g/L water,Once every 17 days
coconut,stem rot,early,fruiting,Punjab,1,34.7,66.6,1,6.02,51.3,Panchagavya,Drip irrigation,3.7 ml/L water,Every 5 days,Confidor,Foliar spray,1.2 g/L water,Once every 18 days
watermelon,leaf blight,mid,vegetative,Tamil Nadu,0,30.7,63.4,1,6.81,44.7,Cow urine solution,Foliar spray,4.9 ml/L water,Every 7 days,Confidor,Soil application,2.5 g/L water,Once every 19 days
mothbeans,root rot,early,seedling,Punjab,1,31.7,79.3,4,6.33,49.9,Neem oil spray,Seed treatment,3.0 ml/L water,Every 9 days,Tilt (propiconazole),Broadcast spraying,2.1 g/L water,Once every 19 days
coconut,leaf blight,early,vegetative,Bihar,0,28.8,55.2,3,6.69,41.5,Neem oil spray,Foliar spray,3.6 ml/L water,Every 6 days,Thiamethoxam,Soil application,2.9 g/L water,Once every 19 days
coconut,leaf blight,mid,flowering,Bihar,0,31.0,70.9,2,6.83,36.5,Trichoderma viride,Foliar spray,3.3 ml/L water,Every 10 days,Carbendazim,Soil application,1.7 g/L water,Once every 18 days
mungbean,root rot,early,seedling,Maharashtra,1,31.7,53.0,4,6.14,42.5,Trichoderma viride,Seed treatment,2.9 ml/L water,Every 8 days,Carbendazim,Foliar spray,2.7 g/L water,Once every 17 days
onion,powdery mildew,mid,seedling,Bihar,1,28.7,66.2,1,6.0,32.5,Neem oil spray,Drip irrigation,2.0 ml/L water,Every 6 days,Ridomil Gold,Broadcast spraying,2.6 g/L water,Once every 12 days
barley,downy mildew,mid,seedling,Punjab,0,32.6,68.7,4,6.29,37.2,Fish amino acid,Foliar spray,4.7 ml/L water,Every 10 days,Carbendazim,Soil application,2.6 g/L water,Once every 20 days
orange,stem rot,mid,fruiting,Tamil Nadu,0,27.7,68.6,1,6.39,23.7,Neem oil spray,Seed treatment,3.0 ml/L water,Every 7 days,Confidor,Broadcast spraying,2.2 g/L water,Once every 17 days
apple,powdery mildew,early,seedling,Maharashtra,1,30.9,71.8,2,6.54,28.5,Fish amino acid,Foliar spray,4.3 ml/L water,Every 7 days,Carbendazim,Soil application,1.6 g/L water,Once every 11 days
muskmelon,powdery mildew,advanced,seedling,Punjab,1,28.5,53.4,3,6.85,27.5,Panchagavya,Seed treatment,4.6 ml/L water,Every 7 days,Bavistin,Broadcast spraying,2.1 g/L water,Once every 20 days
muskmelon,stem rot,early,seedling,Karnataka,1,28.7,65.0,1,6.82,44.4,Trichoderma viride,Drip irrigation,3.4 ml/L water,Every 9 days,Thiamethoxam,Soil application,1.2 g/L water,Once every 10 days
