State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Hindupur,"Tamarind Fruit","Non A/c Fine",FAQ,04/08/2025,9600,16500,16500
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,04/08/2025,3400,3500,3500
"Andhra Pradesh",Chittor,Palamaner,"Cluster beans","Cluster Beans",FAQ,04/08/2025,4000,6000,5000
"Andhra Pradesh",Chittor,Palamaner,Potato,"(Red Nanital)",FAQ,04/08/2025,1000,2000,1500
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Amruthapani,Large,04/08/2025,2200,3200,2800
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Karpura,Large,04/08/2025,2200,3200,2800
"Andhra Pradesh",Visakhapatnam,Chintapally,Turmeric,Finger,FAQ,04/08/2025,7000,8000,7500
"Andhra Pradesh","West Godavari",Chintalapudi,Lemon,Lemon,FAQ,04/08/2025,1200,1600,1400
Bihar,Jehanabad,Jehanabad,Onion,White,FAQ,04/08/2025,2150,2150,2150
Bihar,Madhubani,Jainagar,Onion,Medium,FAQ,04/08/2025,2300,2500,2400
Gujarat,Ahmedabad,Viramgam,"Isabgul (Psyllium)",Other,FAQ,04/08/2025,8500,10025,9260
Gujarat,Amreli,Babra,Wheat,Other,FAQ,04/08/2025,2390,2560,2475
Gujarat,Amreli,Bagasara,"Bengal Gram(Gram)(Whole)","Average (Whole)",Non-FAQ,04/08/2025,4500,5900,5200
Gujarat,Bharuch,Jambusar,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,04/08/2025,6000,7000,6500
Gujarat,Bharuch,Jambusar,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,04/08/2025,2200,2600,2400
Gujarat,Bharuch,Jambusar(Kaavi),"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,04/08/2025,6400,7200,6800
Gujarat,"Chhota Udaipur",Bodeliu,Groundnut,Other,FAQ,04/08/2025,4905,5001,4931
Gujarat,"Chhota Udaipur",Bodeliu,Maize,"Deshi Red",FAQ,04/08/2025,2065,2105,2085
Gujarat,Dahod,Davgadbaria(Piplod),Paddy(Dhan)(Common),Common,Non-FAQ,04/08/2025,1525,1550,1535
Gujarat,Dahod,Devgadhbaria,Paddy(Dhan)(Common),Common,Non-FAQ,04/08/2025,1525,1550,1535
Gujarat,Gandhinagar,Kalol,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,04/08/2025,1750,2300,2000
Gujarat,Gandhinagar,Mansa,"Guar Seed(Cluster Beans Seed)",Split,FAQ,04/08/2025,4150,4750,4550
Gujarat,Gandhinagar,Mansa,Jowar(Sorghum),White,FAQ,04/08/2025,2660,3880,3750
Gujarat,Gandhinagar,Mansa,"Kabuli Chana(Chickpeas-White)",Kabul,FAQ,04/08/2025,5150,5385,5225
Gujarat,Gandhinagar,Mansa,Mustard,Mustard,FAQ,04/08/2025,6275,6500,6450
Gujarat,"Gir Somnath",Talalagir,Brinjal,Other,FAQ,04/08/2025,1000,2500,2000
Gujarat,"Gir Somnath",Talalagir,Cabbage,Other,FAQ,04/08/2025,1000,2000,1500
Gujarat,"Gir Somnath",Talalagir,"Green Chilli",Other,FAQ,04/08/2025,2000,4000,3000
Gujarat,Morbi,Vankaner,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,04/08/2025,5605,5895,5750
Gujarat,Morbi,Vankaner,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,04/08/2025,8000,10875,9000
Gujarat,Morbi,Vankaner,Wheat,Other,FAQ,04/08/2025,2475,2700,2600
Gujarat,Narmada,Rajpipla,Banana,Other,Large,04/08/2025,1675,2750,2250
Gujarat,Rajkot,"Gondal(Veg.market Gondal)","Green Chilli","Green Chilly",FAQ,04/08/2025,1000,5000,3000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Lemon,Other,FAQ,04/08/2025,500,1500,1000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Papaya,Other,Medium,04/08/2025,400,1500,950
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Coriander(Leaves),Coriander,FAQ,04/08/2025,750,2150,1350
Gujarat,Sabarkantha,Prantij,"Castor Seed",Other,FAQ,04/08/2025,6200,6300,6260
Gujarat,Sabarkantha,Prantij,Paddy(Dhan)(Common),Other,FAQ,04/08/2025,2200,2425,2300
Gujarat,Surat,Nizar,Maize,"Deshi Red",Non-FAQ,04/08/2025,1985,2145,2020
Gujarat,Surat,Nizar(Pumkitalov),Jowar(Sorghum),Other,Non-FAQ,04/08/2025,2025,2185,2145
Gujarat,Surat,Songadh(Umrada),"Bhindi(Ladies Finger)",Bhindi,FAQ,04/08/2025,3850,4950,4620
Gujarat,Surat,Surat,"Cluster beans",Other,FAQ,04/08/2025,4000,8000,6000
Gujarat,Surat,Surat,Cucumbar(Kheera),Other,FAQ,04/08/2025,2500,5500,4000
Gujarat,Surat,Surat,"Pegeon Pea (Arhar Fali)",Other,FAQ,04/08/2025,4500,7000,5750
Gujarat,Surat,Surat,Pumpkin,Other,FAQ,04/08/2025,900,2000,1450
Gujarat,Surat,Surat,Ridgeguard(Tori),Other,FAQ,04/08/2025,2000,6500,4250
Gujarat,Surat,Surat,"Sponge gourd",Other,FAQ,04/08/2025,1500,2500,2000
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,04/08/2025,1250,1500,1400
Gujarat,Vadodara(Baroda),Padra,Cauliflower,Other,FAQ,04/08/2025,2000,3500,2750
Gujarat,Vadodara(Baroda),Padra,"Kartali (Kantola)",Other,FAQ,04/08/2025,15000,16000,15500
Gujarat,Vadodara(Baroda),Padra,Potato,Other,FAQ,04/08/2025,1500,2100,1800
Gujarat,Vadodara(Baroda),Padra,Tomato,Other,FAQ,04/08/2025,4000,4500,4250
Haryana,Ambala,Barara,"Bitter gourd",Other,FAQ,04/08/2025,700,1200,700
Haryana,Ambala,Barara,Cabbage,Other,FAQ,04/08/2025,600,1000,600
Haryana,Ambala,Barara,Pomegranate,Other,Medium,04/08/2025,8000,14000,8000
Haryana,Gurgaon,Gurgaon,"Bhindi(Ladies Finger)",Other,FAQ,04/08/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,04/08/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Tomato,Other,FAQ,04/08/2025,1000,2000,1500
Haryana,Hissar,Hansi,Cabbage,Other,FAQ,04/08/2025,1000,2000,1500
Haryana,Hissar,Hansi,Mango,Other,Medium,04/08/2025,3000,8000,6000
Haryana,Hissar,Hansi,"Peas Wet",Other,FAQ,04/08/2025,10000,14000,12000
Haryana,Hissar,Hansi,Pomegranate,Other,Medium,04/08/2025,6000,12000,10000
Haryana,Jhajar,Jhajjar,Onion,Other,FAQ,04/08/2025,1400,1600,1500
Haryana,Jhajar,Jhajjar,Tomato,Other,FAQ,04/08/2025,5800,6300,6000
Haryana,Karnal,Indri,Banana,Other,Medium,04/08/2025,3000,3000,3000
Haryana,Karnal,Indri,Pomegranate,Other,Medium,04/08/2025,8000,8000,8000
Haryana,Kurukshetra,Pehowa,Tomato,Other,FAQ,04/08/2025,4200,4500,4200
